feature,value
sex,0.6059308807820173
smoke,0.22927399958365
dm,0.014489411881062451
cholbin,-0.19660091449950864
cigsbin,-0.08290079643303437
age25_34,-0.18065778295706325
age35_44,-0.1756796559947152
age45_54,0.0
age55_64,0.39665692296937843
age65,0.28246058137850566
